INSEE_COM;I_CD_POST_SIEGE;ferm_2009;ferm_2011;ferm_2013;actuel
1001;A01001;100224;100224;100224;100224
1002;A01002;102067;100224;100224;100224
1003;A01003;;;;
1004;A01004;102067;100224;100224;100224
1005;A01005;100224;100224;100224;100224
1006;A01006;102067;100224;100224;100224
1007;A01007;102067;100224;100224;100224
1008;A01008;102067;100224;100224;100224
1009;A01009;102067;100224;100224;100224
1010;A01010;102067;100224;100224;100224
1011;A01011;100224;100224;100224;100224
1012;A01012;102067;100224;100224;100224
1013;A01013;102067;100224;100224;100224
1014;A01014;100224;100224;100224;100224
1015;A01015;102067;100224;100224;100224
1016;A01016;100224;100224;100224;100224
1017;A01017;102067;100224;100224;100224
1018;A01018;;;;
1019;A01019;102067;100224;100224;100224
1020;A01020;;;;
1021;A01021;100224;100224;100224;100224
1022;A01022;102067;100224;100224;100224
1023;A01023;100224;100224;100224;100224
1024;A01024;100224;100224;100224;100224
1025;A01025;100224;100224;100224;100224
1026;A01026;100224;100224;100224;100224
1027;A01027;100224;100224;100224;100224
1028;A01028;100224;100224;100224;100224
1029;A01029;100224;100224;100224;100224
1030;A01030;100224;100224;100224;100224
1031;A01031;100224;100224;100224;100224
1032;A01032;100224;100224;100224;100224
1033;A01033;100224;100224;100224;100224
1034;A01034;102067;100224;100224;100224
1035;A01035;100224;100224;100224;100224
1036;A01036;102067;100224;100224;100224
1037;A01037;102067;100224;100224;100224
1038;A01038;100224;100224;100224;100224
1039;A01039;102067;100224;100224;100224
1040;A01040;100224;100224;100224;100224
1041;A01041;102067;100224;100224;100224
1042;A01042;100224;100224;100224;100224
1043;A01043;100224;100224;100224;100224
1044;A01044;100224;100224;100224;100224
1045;A01045;100224;100224;100224;100224
1046;A01046;100224;100224;100224;100224
1047;A01047;102067;100224;100224;100224
1048;A01048;;;;
1049;A01049;100224;100224;100224;100224
1050;A01050;100224;100224;100224;100224
1051;A01051;100224;100224;100224;100224
1052;A01052;100224;100224;100224;100224
1053;A01053;100224;100224;100224;100224
1054;A01054;100224;100224;100224;100224
1055;A01055;;;;
1056;A01056;100224;100224;100224;100224
1057;A01057;100224;100224;100224;100224
1058;A01058;102067;100224;100224;100224
1059;A01059;102067;100224;100224;100224
1060;A01060;100224;100224;100224;100224
1061;A01061;102067;100224;100224;100224
1062;A01062;100224;100224;100224;100224
1063;A01063;100224;100224;100224;100224
1064;A01064;102067;100224;100224;100224
1065;A01065;100224;100224;100224;100224
1066;A01066;102067;100224;100224;100224
1067;A01067;100224;100224;100224;100224
1068;A01068;100224;100224;100224;100224
1069;A01069;100224;100224;100224;100224
1070;A01070;;;;
1071;A01071;100224;100224;100224;100224
1072;A01072;100224;100224;100224;100224
1073;A01073;102067;100224;100224;100224
1074;A01074;100224;100224;100224;100224
1075;A01075;100224;100224;100224;100224
1076;A01076;102067;100224;100224;100224
1077;A01077;100224;100224;100224;100224
1078;A01078;100224;100224;100224;100224
1079;A01079;102067;100224;100224;100224
1080;A01080;100224;100224;100224;100224
1081;A01081;100224;100224;100224;100224
1082;A01082;102067;100224;100224;100224
1083;A01083;100224;100224;100224;100224
1084;A01084;100224;100224;100224;100224
1085;A01085;100224;100224;100224;100224
1086;A01086;;;;
1087;A01087;100224;100224;100224;100224
1088;A01088;100224;100224;100224;100224
1089;A01089;102067;100224;100224;100224
1090;A01090;100224;100224;100224;100224
1091;A01091;100224;100224;100224;100224
1092;A01092;100224;100224;100224;100224
1093;A01093;100224;100224;100224;100224
1094;A01094;100224;100224;100224;100224
1095;A01095;100224;100224;100224;100224
1096;A01096;100224;100224;100224;100224
1097;A01097;102067;100224;100224;100224
1098;A01098;102067;100224;100224;100224
1099;A01099;102067;100224;100224;100224
1100;A01100;102067;100224;100224;100224
1101;A01101;100224;100224;100224;100224
1102;A01102;100224;100224;100224;100224
1103;A01103;100224;100224;100224;100224
1104;A01104;100224;100224;100224;100224
1105;A01105;100224;100224;100224;100224
