i_elst;libel_lg;libel_crt;tc_abs;NOM_TCABS;num_TC;TGI;D_TC
100224;Tribunal de Commerce de Bourg-en-Bresse;BOURG EN BRESSE;0;BOURG EN BRESSE;100224;0;1
100225;Tribunal de Commerce de Chauny;CHAUNY;1;SAINT QUENTIN;100226;0;1
100226;Tribunal de Commerce de Saint-Quentin;SAINT QUENTIN;0;SAINT QUENTIN;100226;0;1
100227;Tribunal de Commerce de Soissons;SOISSONS;3;SOISSONS;100227;0;1
100228;Tribunal de Commerce de Vervins;VERVINS;1;SAINT QUENTIN;100226;0;1
100229;Tribunal de Commerce de Cusset;CUSSET;0;CUSSET;100229;0;1
100230;Tribunal de Commerce de Montluçon;MONTLUCON;3;MONTLUCON;100230;0;1
100231;Tribunal de Commerce de Moulins;MOULINS;1;CUSSET;100229;0;1
100232;Tribunal de Commerce de Manosque;MANOSQUE;0;MANOSQUE;100232;0;1
100233;Tribunal de Commerce de Gap;GAP;3;GAP;100233;0;1
100234;Tribunal de Commerce d'Antibes;ANTIBES;3;ANTIBES;100234;0;1
100235;Tribunal de Commerce de Cannes;CANNES;3;CANNES;100235;0;1
100236;Tribunal de Commerce de Grasse;GRASSE;3;GRASSE;100236;0;1
100237;Tribunal de Commerce de Menton;MENTON;1;NICE;100238;0;1
100238;Tribunal de Commerce de Nice;NICE;0;NICE;100238;0;1
100239;Tribunal de Commerce d'Annonay;ANNONAY;1;AUBENAS;100240;0;1
100240;Tribunal de Commerce d'Aubenas;AUBENAS;0;AUBENAS;100240;0;1
100241;Tribunal de Commerce de Charleville-Mézières;CHARLEVILLE MEZIERES;1;SEDAN;100242;0;1
100242;Tribunal de Commerce de Sedan;SEDAN;0;SEDAN;100242;0;1
100243;Tribunal de Commerce de Foix;FOIX;3;FOIX;100243;0;1
100244;Tribunal de Commerce de Troyes;TROYES;3;TROYES;100244;0;1
100245;Tribunal de Commerce de Carcassonne;CARCASSONNE;3;CARCASSONNE;100245;0;1
100248;Tribunal de Commerce de Narbonne;NARBONNE;3;NARBONNE;100248;0;1
100250;Tribunal de Commerce de Millau;MILLAU;1;RODEZ;100251;0;1
100251;Tribunal de Commerce de Rodez;RODEZ;0;RODEZ;100251;0;1
100253;Tribunal de Commerce d'Aix-en-Provence;AIX EN PROVENCE;3;AIX EN PROVENCE;100253;0;1
