I_CD_POST_SIEGE;libel_crt;NV_CD_POST;ZE;;;;;;;;CD;;POLE;;;
73143;ALBERTVILLE;73290;8217;A73143;A8217;;;1001;8213;;A01001;1001;;;;A01001
73321;ALBERTVILLE;73257;8215;A73321;A8215;;;1002;8201;;A01002;1002;;;;A01002
73167;ALBERTVILLE;73235;8217;A73167;A8217;;;1004;8201;;A01003;1003;1165;;;A01003
73144;ALBERTVILLE;73290;8217;A73144;A8217;;;1005;8213;;A01004;1004;;;;A01004
73287;ALBERTVILLE;73290;8217;A73287;A8217;;;1006;8216;;A01005;1005;;;;A01005
81113;ALBI;81218;7311;A81113;A7311;;;1007;8201;;A01006;1006;;;;A01006
61246;ALENCON;61484;54;A61246;A0054;;;1008;8201;;A01007;1007;;;;A01007
61175;ALENCON;61341;51;A61175;A0051;;;1009;8216;;A01008;1008;;;;A01008
61325;ALENCON;61196;54;A61325;A0054;;;1010;8219;;A01009;1009;;;;A01009
61337;ALENCON;61309;54;A61337;A0054;;;1011;8203;;A01010;1010;;;;A01010
61430;ALENCON;61050;54;A61430;A0054;;;1012;8203;;A01011;1011;;;;A01011
61458;ALENCON;61230;51;A61458;A0051;;;1013;8201;;A01012;1012;;;;A01012
61226;ALENCON;61491;51;A61226;A0051;;;1014;8203;;A01013;1013;;;;A01013
49285;ANGERS;49301;5206;A49285;A5206;;;1015;8216;;A01014;1014;;;;A01014
49075;ANGERS;49244;5205;A49075;A5205;;;1016;53;;A01015;1015;;;;A01015
49276;ANGERS;49244;5205;A49276;A5205;;;1017;8201;;A01016;1016;;;;A01016
49066;ANGERS;49345;5205;A49066;A5205;;;1019;8203;;A01017;1017;;;;A01017
49320;ANGERS;49069;5203;A49320;A5203;;;1021;8213;;A01018;1018;1033;;;A01018
49360;ANGERS;49069;5203;A49360;A5203;;;1022;8216;;A01019;1019;;;;A01019
49239;ANGERS;49023;5206;A49239;A5206;;;1023;53;;A01020;1020;1125;;;A01020
49169;ANGERS;49092;5206;A49169;A5206;;;1024;8202;;A01021;1021;;;;A01021
49238;ANGERS;49323;5205;A49238;A5205;;;1025;53;;A01022;1022;;;;A01022
49004;ANGERS;49307;5205;A49004;A5205;;;1026;53;;A01023;1023;;;;A01023
49165;ANGERS;49023;5206;A49165;A5206;;;1027;8214;;A01024;1024;;;;A01024
49351;ANGERS;49092;5206;A49351;A5206;;;1028;8213;;A01025;1025;;;;A01025
49179;ANGERS;49301;5206;A49179;A5206;;;1029;8202;;A01026;1026;;;;A01026
49162;ANGERS;49023;5206;A49162;A5206;;;1030;8213;;A01027;1027;;;;A01027
49264;ANGERS;49301;5206;A49264;A5206;;;1031;8203;;A01028;1028;;;;A01028
49375;ANGERS;49023;5206;A49375;A5206;;;1032;8214;;A01029;1029;;;;A01029
49151;ANGERS;49023;5206;A49151;A5206;;;1033;8219;;A01030;1030;;;;A01030
49103;ANGERS;49248;5208;A49103;A5208;;;1034;8216;;A01031;1031;;;;A01031
49105;ANGERS;49065;5205;A49105;A5205;;;1035;8203;;A01032;1032;;;;A01032
49074;ANGERS;49092;5206;A49074;A5206;;;1036;8216;;A01033;1033;;;;A01033
49172;ANGERS;49069;5203;A49172;A5203;;;1037;8201;;A01034;1034;;;;A01034
49145;ANGERS;49218;5206;A49145;A5206;;;1038;8202;;A01035;1035;;;;A01035
49277;ANGERS;49331;5208;A49277;A5208;;;1039;8216;;A01036;1036;;;;A01036
49335;ANGERS;49065;5205;A49335;A5205;;;1040;8202;;A01037;1037;;;;A01037
49212;ANGERS;49244;5205;A49212;A5205;;;1041;8201;;A01038;1038;;;;A01038
49034;ANGERS;49244;5205;A49034;A5205;;;1042;53;;A01039;1039;;;;A01039
49354;ANGERS;49248;5208;A49354;A5208;;;1043;8214;;A01040;1040;;;;A01040
49190;ANGERS;49244;5205;A49190;A5205;;;1044;8219;;A01041;1041;;;;A01041
49350;ANGERS;49301;5206;A49350;A5206;;;1045;8214;;A01042;1042;;;;A01042
49252;ANGERS;49218;5206;A49252;A5206;;;1046;53;;A01043;1043;;;;A01043
49037;ANGERS;49331;5208;A49037;A5208;;;1047;8201;;A01044;1044;;;;A01044
49290;ANGERS;49167;5205;A49290;A5205;;;1049;8214;;A01045;1045;;;;A01045
49243;ANGERS;49023;5206;A49243;A5206;;;1050;53;;A01046;1046;;;;A01046
49081;ANGERS;49331;5208;A49081;A5208;;;1051;8203;;A01047;1047;;;;A01047
