INSEE_COM;I_CD_POST_SIEGE;num_TC;CDCOM_TC;num_TCABS;CDCOM_TCABS 
1001;A01001;100224;A01053;100224;A01053
1002;A01002;102067;A01034;100224;A01053
1003;A01003;;;;
1004;A01004;102067;A01034;100224;A01053
1005;A01005;100224;A01053;100224;A01053
1006;A01006;102067;A01034;100224;A01053
1007;A01007;102067;A01034;100224;A01053
1008;A01008;102067;A01034;100224;A01053
1009;A01009;102067;A01034;100224;A01053
1010;A01010;102067;A01034;100224;A01053
1011;A01011;100224;A01053;100224;A01053
1012;A01012;102067;A01034;100224;A01053
1013;A01013;102067;A01034;100224;A01053
1014;A01014;100224;A01053;100224;A01053
1015;A01015;102067;A01034;100224;A01053
1016;A01016;100224;A01053;100224;A01053
1017;A01017;102067;A01034;100224;A01053
1018;A01018;;;;
1019;A01019;102067;A01034;100224;A01053
1020;A01020;;;;
1021;A01021;100224;A01053;100224;A01053
1022;A01022;102067;A01034;100224;A01053
1023;A01023;100224;A01053;100224;A01053
1024;A01024;100224;A01053;100224;A01053
1025;A01025;100224;A01053;100224;A01053
1026;A01026;100224;A01053;100224;A01053
1027;A01027;100224;A01053;100224;A01053
1028;A01028;100224;A01053;100224;A01053
1029;A01029;100224;A01053;100224;A01053
1030;A01030;100224;A01053;100224;A01053
1031;A01031;100224;A01053;100224;A01053
1032;A01032;100224;A01053;100224;A01053
1033;A01033;100224;A01053;100224;A01053
1034;A01034;102067;A01034;100224;A01053
1035;A01035;100224;A01053;100224;A01053
1036;A01036;102067;A01034;100224;A01053
1037;A01037;102067;A01034;100224;A01053
1038;A01038;100224;A01053;100224;A01053
1039;A01039;102067;A01034;100224;A01053
1040;A01040;100224;A01053;100224;A01053
1041;A01041;102067;A01034;100224;A01053
1042;A01042;100224;A01053;100224;A01053
1043;A01043;100224;A01053;100224;A01053
1044;A01044;100224;A01053;100224;A01053
1045;A01045;100224;A01053;100224;A01053
1046;A01046;100224;A01053;100224;A01053
1047;A01047;102067;A01034;100224;A01053
1048;A01048;;;;
1049;A01049;100224;A01053;100224;A01053
1050;A01050;100224;A01053;100224;A01053
1051;A01051;100224;A01053;100224;A01053
1052;A01052;100224;A01053;100224;A01053
1053;A01053;100224;A01053;100224;A01053
1054;A01054;100224;A01053;100224;A01053
1055;A01055;;;;
1056;A01056;100224;A01053;100224;A01053
1057;A01057;100224;A01053;100224;A01053
1058;A01058;102067;A01034;100224;A01053
1059;A01059;102067;A01034;100224;A01053
1060;A01060;100224;A01053;100224;A01053
1061;A01061;102067;A01034;100224;A01053
1062;A01062;100224;A01053;100224;A01053
1063;A01063;100224;A01053;100224;A01053
1064;A01064;102067;A01034;100224;A01053
1065;A01065;100224;A01053;100224;A01053
1066;A01066;102067;A01034;100224;A01053
1067;A01067;100224;A01053;100224;A01053
1068;A01068;100224;A01053;100224;A01053
1069;A01069;100224;A01053;100224;A01053
1070;A01070;;;;
1071;A01071;100224;A01053;100224;A01053
1072;A01072;100224;A01053;100224;A01053
1073;A01073;102067;A01034;100224;A01053
1074;A01074;100224;A01053;100224;A01053
1075;A01075;100224;A01053;100224;A01053
1076;A01076;102067;A01034;100224;A01053
1077;A01077;100224;A01053;100224;A01053
1078;A01078;100224;A01053;100224;A01053
1079;A01079;102067;A01034;100224;A01053
1080;A01080;100224;A01053;100224;A01053
1081;A01081;100224;A01053;100224;A01053
1082;A01082;102067;A01034;100224;A01053
1083;A01083;100224;A01053;100224;A01053
1084;A01084;100224;A01053;100224;A01053
1085;A01085;100224;A01053;100224;A01053
1086;A01086;;;;
1087;A01087;100224;A01053;100224;A01053
1088;A01088;100224;A01053;100224;A01053
1089;A01089;102067;A01034;100224;A01053
1090;A01090;100224;A01053;100224;A01053
1091;A01091;100224;A01053;100224;A01053
1092;A01092;100224;A01053;100224;A01053
1093;A01093;100224;A01053;100224;A01053
1094;A01094;100224;A01053;100224;A01053
1095;A01095;100224;A01053;100224;A01053
1096;A01096;100224;A01053;100224;A01053
1097;A01097;102067;A01034;100224;A01053
1098;A01098;102067;A01034;100224;A01053
1099;A01099;102067;A01034;100224;A01053
1100;A01100;102067;A01034;100224;A01053
1101;A01101;100224;A01053;100224;A01053
1102;A01102;100224;A01053;100224;A01053
1103;A01103;100224;A01053;100224;A01053
1104;A01104;100224;A01053;100224;A01053
1105;A01105;100224;A01053;100224;A01053
1106;A01106;100224;A01053;100224;A01053
1107;A01107;102067;A01034;100224;A01053
1108;A01108;100224;A01053;100224;A01053
1109;A01109;100224;A01053;100224;A01053
1110;A01110;102067;A01034;100224;A01053
1111;A01111;102067;A01034;100224;A01053
1112;A01112;100224;A01053;100224;A01053
1113;A01113;100224;A01053;100224;A01053
1114;A01114;100224;A01053;100224;A01053
1115;A01115;100224;A01053;100224;A01053
1116;A01116;102067;A01034;100224;A01053
1117;A01117;102067;A01034;100224;A01053
1118;A01118;102067;A01034;100224;A01053
1119;A01119;100224;A01053;100224;A01053
1120;A01120;;;;
1121;A01121;102067;A01034;100224;A01053
1122;A01122;102067;A01034;100224;A01053
1123;A01123;100224;A01053;100224;A01053
1124;A01124;100224;A01053;100224;A01053
1125;A01125;100224;A01053;100224;A01053
1126;A01126;;;;
1127;A01127;100224;A01053;100224;A01053
1128;A01128;100224;A01053;100224;A01053
1129;A01129;100224;A01053;100224;A01053
1130;A01130;100224;A01053;100224;A01053
1131;A01131;;;;
1132;A01132;;;;
1133;A01133;102067;A01034;100224;A01053
1134;A01134;100224;A01053;100224;A01053
1135;A01135;100224;A01053;100224;A01053
1136;A01136;100224;A01053;100224;A01053
1137;A01137;;;;
1138;A01138;102067;A01034;100224;A01053
1139;A01139;100224;A01053;100224;A01053
1140;A01140;100224;A01053;100224;A01053
1141;A01141;102067;A01034;100224;A01053
1142;A01142;100224;A01053;100224;A01053
1143;A01143;100224;A01053;100224;A01053
1144;A01144;100224;A01053;100224;A01053
1145;A01145;100224;A01053;100224;A01053
1146;A01146;100224;A01053;100224;A01053
1147;A01147;100224;A01053;100224;A01053
1148;A01148;100224;A01053;100224;A01053
