C_COM;NU_SGE
01001;1
01001;286
01001;289
01001;2377
01001;7997
01001;9074
01002;1
01002;283
01002;284
01002;2360
01002;7903
01002;8230
01003;1
01004;1
01004;283
01004;284
01004;2354
01004;7903
01004;8230
01005;1
01005;286
01005;289
01005;2387
01005;7997
01005;10920
01006;1
01006;283
01006;284
01006;2353
01006;7903
01006;8511
01007;1
01007;283
01007;284
01007;2354
01007;7903
01007;8230
01008;1
01008;283
01008;284
01008;2358
01008;7903
01008;9730
01009;1
01009;283
01009;284
01009;2362
01009;7903
01009;8511
01010;1
01010;283
01010;284
01010;2361
01010;7903
01010;11007
01011;1
01011;287
01011;288
01011;2363
01011;8173
01011;10197
01012;1
01012;283
01012;284
01012;2357
01012;7903
01012;9542
01013;1
01013;283
01013;284
01013;2360
01013;7903
01013;10746
01014;1
01014;287
01014;288
01014;2368
01014;8173
01014;10291
01014;14344
01015;1
01015;283
01015;284
01015;2353
01015;7903
01015;8511
01016;1
01016;285
01016;286
01016;2348
01016;7997
01016;10566
01017;1
01017;283
01017;284
01017;2360
01017;7903
01017;10746
01018;1
01019;1
01019;283
01019;284
01019;2362
01019;7903
01019;11362
01020;1
01021;1
01021;286
01021;289
01021;2387
01021;7997
01021;11673
01022;1
01022;283
01022;284
01022;2355
01022;7903
01022;8980
01023;1
01023;285
01023;286
01023;2350
01023;7997
01023;8323
01024;1
01024;285
01024;286
01024;2346
01024;7997
01024;10104
01025;1
01025;285
01025;286
01025;2350
01025;7997
01025;8323
01026;1
01026;285
01026;286
01026;2350
01026;7997
01026;8323
01027;1
01027;286
01027;289
01027;2381
01027;7997
01027;10010
01028;1
01028;286
01028;289
01028;2384
01028;7997
01028;10920
01029;1
01029;285
01029;286
01029;2345
01029;7997
01029;9168
01030;1
01030;286
01030;289
01030;2382
01030;7997
01030;11232
01031;1
01031;287
01031;288
01031;2368
01031;8173
01031;11630
01031;14344
01032;1
01032;286
01032;289
01032;2381
01032;7997
01032;10010
01033;1
01033;287
01033;288
01033;2364
01033;8173
01033;8417
01033;22539
01034;1
01034;283
01034;284
01034;2353
01034;7903
01034;8511
01035;1
01035;287
01035;288
01035;2368
01035;8173
01035;10291
01036;1
01036;283
01036;284
01036;2355
01036;7903
01036;8980
01037;1
01037;283
01037;284
01037;2359
01037;7903
01037;9823
01038;1
01038;285
01038;286
01038;2345
01038;7997
01038;9168
01039;1
01039;283
01039;284
01039;2356
01039;7903
01039;8980
01040;1
01040;285
01040;286
01040;2346
01040;7997
01040;10104
01041;1
01041;283
01041;284
01041;2354
01041;7903
01041;8230
01042;1
01042;285
01042;286
01042;2349
01042;7997
01042;10657
01043;1
01043;286
01043;289
01043;2380
01043;7997
01043;11580
01044;1
01044;287
01044;288
01044;2364
01044;8173
01044;8417
01044;22539
01045;1
01045;286
01045;289
01045;2386
01045;7997
01045;11299
01046;1
01046;286
01046;289
01046;2388
01046;7997
01046;9074
01047;1
01047;283
01047;284
01047;2358
01047;7903
01047;9730
01048;1
01049;1
01049;286
01049;289
01049;2381
01049;7997
01049;10010
01050;1
01050;285
01050;286
01050;2348
01050;7997
01050;10566
01051;1
01051;287
01051;288
01051;2367
01051;8173
01051;9636
01052;1
01052;286
01052;289
01052;2386
01052;7997
01052;11299
01053;1
01053;285
01053;286
01053;2343
01053;7997
01053;8605
01053;11419
01053;11476
01053;14343
01054;1
01054;286
01054;289
01054;2379
01054;7997
01054;9916
01055;1
01056;1
01056;287
01056;288
01056;2366
01056;8173
01056;10383
01057;1
01057;285
01057;286
01057;2348
01057;7997
01057;10566
01058;1
01058;283
01058;284
01058;2359
01058;7903
01058;8511
01059;1
01059;283
01059;284
01059;2355
01059;7903
01059;8980
01060;1
01060;287
01060;288
01060;2365
01060;8173
01060;8699
01061;1
01061;283
01061;284
01061;2353
01061;7903
01061;8511
01062;1
01062;286
01062;289
01062;2381
01062;7997
01062;10010
01063;1
01063;287
01063;288
01063;2363
01063;8173
01063;10197
01064;1
01064;283
01064;284
01064;2359
01064;7903
01064;9823
01065;1
01065;285
01065;286
01065;2343
01065;7997
01065;11711
01066;1
01066;283
01066;284
01066;2362
01066;7903
01066;11362
01067;1
01067;287
01067;288
01067;2367
01067;8173
01067;9636
01068;1
01068;287
01068;288
01068;2366
01068;8173
01068;10383
01069;1
01069;285
01069;286
01069;2347
01069;7997
01069;10475
01070;1
01071;1
01071;287
01071;288
01071;2369
01071;8090
01071;9448
01072;1
01072;285
01072;286
01072;2344
01072;7997
01072;8793
01073;1
01073;283
01073;284
01073;2356
01073;7903
01073;11362
01074;1
01074;286
01074;289
01074;2376
01074;7997
01074;8887
01075;1
01075;286
01075;289
01075;2387
01075;7997
01075;10920
01076;1
01076;283
01076;284
01076;2360
01076;7903
01076;10746
01077;1
01077;287
01077;288
01077;2366
01077;8173
01077;10383
01078;1
01078;287
01078;288
01078;2371
01078;8090
01078;9262
01079;1
01079;283
01079;284
01079;2355
01079;7903
01079;8980
01080;1
01080;287
01080;288
01080;2365
01080;8173
01080;8699
01081;1
01081;287
01081;288
01081;2370
01081;8173
01081;8417
01082;1
01082;283
01082;284
01082;2361
01082;7903
01082;11007
01083;1
01083;286
01083;289
01083;2384
01083;7997
01083;10920
01084;1
01084;286
01084;289
01084;2388
01084;7997
01084;9074
01085;1
01085;286
01085;289
01085;2378
01085;7997
01085;11299
01086;1
01087;1
01087;287
01087;288
01087;2363
01087;8173
01087;10197
01088;1
01088;286
01088;289
01088;2379
01088;7997
01088;9916
01089;1
01089;283
01089;284
01089;2354
01089;7903
01089;8230
01090;1
01090;286
01090;289
01090;2376
01090;7997
01090;8887
01091;1
01091;287
01091;288
01091;2364
01091;8173
01091;8417
01091;22539
01092;1
01092;286
01092;289
01092;2376
01092;7997
01092;8887
01093;1
01093;286
01093;289
01093;2377
01093;7997
01093;9074
01094;1
01094;285
01094;286
01094;2348
01094;7997
01094;10566
01095;1
01095;285
01095;286
01095;2352
01095;7997
01095;11161
01096;1
01096;286
01096;289
01096;2388
01096;7997
01096;9074
01097;1
01097;283
01097;284
01097;2355
01097;7903
01097;8980
01098;1
01098;283
01098;284
01098;2353
01098;7903
01098;8511
01099;1
01099;283
01099;284
01099;2358
01099;7903
01150;7997
01150;8793
01151;1
01151;285
01151;286
01151;2347
01151;7997
01151;10475
01152;1
01152;287
01152;288
01152;2368
01152;8173
01152;10291
01153;1
01153;287
01153;288
01153;2369
01153;8090
01153;9448
01154;1
01154;285
01154;286
01154;2346
01154;7997
01154;10104
01155;1
01155;283
01155;284
01155;2360
01155;7903
01155;10746
01156;1
01156;286
01156;289
01156;2379
01156;7997
01156;9916
01157;1
01157;286
01157;289
01157;2382
01157;7997
01157;10920
01158;1
01158;287
01158;288
01158;2371
01158;8090
01158;9262
01159;1
01159;285
01159;286
01159;2350
01159;7997
01159;8323
01160;1
01160;287
01160;288
01160;2373
01160;8090
01160;9355
01161;1
01162;1
01162;283
01162;284
01162;2356
01162;7903
01162;11362
01163;1
01163;285
01163;286
01163;2346
01163;7997
01163;10104
01164;1
01165;1
01165;286
01165;289
01165;2382
01165;7997
01165;10920
01166;1
01166;286
01166;289
01166;2387
01166;7997
01166;11232
01167;1
01167;286
01167;289
01167;2385
01167;7997
01167;11087
01168;1
01169;1
01169;286
01169;289
01169;2385
01169;7997
01169;11087
01170;1
01170;287
01170;288
01170;2363
01170;8173
01170;10197
01171;1
01171;287
01171;288
01171;2368
01171;8173
01171;11630
01172;1
01172;285
01172;286
01172;2352
01172;7997
01172;11161
01173;1
01173;287
01173;288
01173;2369
01173;8090
01173;9448
01174;1
01174;287
01174;288
01174;2368
01174;8173
01174;8417
01175;1
01175;285
01175;286
01175;2348
01175;7997
01175;10566
01176;1
01176;287
01176;288
01176;2365
01176;8173
01176;8699
01177;1
01177;285
01177;286
01177;2344
01177;7997
01177;8793
01178;1
01179;1
01179;285
01179;286
01179;2349
01179;7997
01179;10657
01180;1
01180;287
01180;288
01180;2372
01180;8090
01180;9448
01181;1
01181;287
01181;288
01181;2368
01181;8173
01181;11630
01182;1
01182;283
01182;284
01182;2359
01182;7903
01182;9823
01183;1
01183;286
01183;289
01183;2382
01183;7997
01183;11087
01184;1
01184;285
01184;286
01184;2344
01184;7997
01184;8793
01185;1
01185;283
01185;284
01185;2357
01185;7903
01185;9542
01186;1
01186;283
01186;284
01186;2357
01186;7903
01186;10746
01187;1
01187;283
01187;287
01187;288
01187;2365
01187;8173
01187;8699
01188;1
01188;286
01188;289
01188;2385
01188;7997
01188;11087
01189;1
01189;287
01189;288
01189;2364
01189;8173
01189;8417
01189;22539
01190;1
01190;283
01190;284
01190;2359
01190;7903
01190;9823
01191;1
01191;287
01191;288
01191;2365
01191;8173
01191;8699
01192;1
01192;287
01192;288
01192;2367
01192;8173
01192;9636
01193;1
01193;283
01193;284
01193;2353
01193;7903
01193;8511
01194;1
01194;286
01194;289
01194;2375
01194;7997
01194;11232
01195;1
01195;285
01195;286
01195;2344
01195;7997
01195;8793
01196;1
01196;285
01196;286
01196;2346
01196;7997
01196;10104
01197;1
01197;285
01197;286
01197;2347
01197;7997
01197;10475
01198;1
01198;286
01198;289
01198;2386
01198;7997
01198;9916
01199;1
01199;287
01199;288
01199;2366
01199;8173
01199;10383
01200;1
01200;287
01200;288
01200;2366
01200;8173
01200;10383
01201;1
01202;1
01202;283
01202;284
01202;2358
01202;7903
01202;9730
01203;1
