I_CD_POST_SIEGE;ZE
A01001;A8213
A01002;A8201
A01004;A8201
A01005;A8213
A01006;A8216
A01007;A8201
A01008;A8201
A01009;A8216
A01010;A8219
A01011;A8203
A01012;A8203
A01013;A8201
A01014;A8203
A01015;A8216
A01016;A0053
A01017;A8201
A01019;A8203
A01021;A8213
A01022;A8216
A01023;A0053
A01024;A8202
A01025;A0053
A01026;A0053
A01027;A8214
A01028;A8213
A01029;A8202
A01030;A8213
A01031;A8203
A01032;A8214
A01033;A8219
A01034;A8216
A01035;A8203
A01036;A8216
A01037;A8201
A01038;A8202
A01039;A8216
A01040;A8202
A01041;A8201
A01042;A0053
A01043;A8214
A01044;A8219
A01045;A8214
A01046;A0053
A01047;A8201
A01049;A8214
A01050;A0053
A01051;A8203
A01052;A8214
A01053;A8202
A01054;A8201
A01056;A8201
A01057;A0053
A01058;A8209
A01059;A8216
A01060;A8203
A01061;A8216
A01062;A8214
A01063;A8203
A01064;A8201
A01065;A8202
A01066;A8201
A01067;A8203
A01068;A8201
A01069;A8202
A01071;A8219
A01072;A8202
A01073;A8216
A01074;A8214
A01075;A8213
A01076;A8201
A01077;A8201
A01078;A8219
A01079;A8216
A01080;A8203
A01081;A8219
A01082;A8219
A01083;A8213
A01084;A8202
A01085;A8213
A01087;A8203
A01088;A8201
A01089;A8201
A01090;A8214
A01091;A8219
A01092;A8201
A01093;A8213
A01094;A0053
A01095;A8202
A01096;A8202
A01097;A8216
A01098;A8216
A01099;A8201
A01100;A8216
A01101;A8203
A01102;A0053
A01103;A8219
A01104;A8219
A01105;A8214
A01106;A8202
A01107;A8201
A01108;A8202
A01109;A8219
A01110;A8216
A01111;A8201
A01112;A8203
A01113;A8202
A01114;A8219
A01115;A8202
A01116;A8216
A01117;A8216
A01118;A8219
A01121;A8203
A01122;A8203
A01123;A0053
A01124;A8202
A01125;A8203
A01127;A8202
A01128;A8202
A01129;A8201
A01130;A8202
A01133;A8216
A01134;A0053
A01135;A8219
A01136;A0053
A01138;A8216
A01139;A8202
A01140;A8202
A01141;A8216
A01142;A8214
A01143;A8219
A01145;A8214
A01146;A8213
A01147;A8202
A01148;A8203
A01149;A8201
A01150;A8202
A01151;A8201
A01152;A8203
A01153;A8219
A01154;A8202
A01155;A8201
A01156;A8201
A01157;A8213
A01158;A8219
A01159;A0053
A01160;A8219
A01162;A8216
A01163;A8202
A01165;A8213
A01166;A8213
A01167;A0053
A01169;A8213
A01170;A8203
A01171;A8203
A01173;A8219
A01174;A8219
A01175;A0053
A01177;A8202
A01179;A0053
A01180;A8219
A01181;A8203
A01183;A8213
A01184;A8202
A01185;A8203
A01186;A8201
A01187;A8203
A01188;A8213
A01189;A8219
A01190;A8209
A01191;A8203
A01192;A8203
A01193;A8209
A01194;A8213
A01195;A8202
A01196;A8202
A01197;A8202
A01198;A8201
A01199;A8201
A01200;A8203
A01202;A8201
A01203;A0053
A01204;A8203
A01205;A8219
A01206;A8203
A01207;A8213
A01208;A8216
A01209;A8219
A01210;A8219
A01211;A8202
A01212;A8202
A01213;A8201
A01214;A8203
A01215;A8219
A01216;A8209
A01218;A8216
A01219;A8201
A01221;A8203
A01224;A8214
A01225;A8213
A01227;A8216
A01228;A8203
A01229;A8202
A01230;A8202
A01231;A0053
A01232;A8202
A01233;A8209
A01234;A8216
A01235;A8213
A01236;A8202
A01237;A8203
A01238;A8213
A01239;A8216
A01240;A8203
A01241;A8202
A01242;A8201
A01243;A8213
A01244;A8201
A01245;A8202
A01246;A8202
A01247;A8219
A01248;A8214
A01249;A8214
A01250;A8213
A01252;A8213
A01254;A8202
A01255;A8201
A01257;A8219
A01258;A8213
A01259;A8202
A01260;A8214
A01261;A8213
A01262;A8214
A01263;A8213
A01264;A8202
A01265;A8203
A01266;A8202
A01267;A8203
A01268;A8216
A01269;A8203
A01272;A8213
A01273;A8201
A01274;A8203
A01275;A8214
A01276;A8214
A01277;A8201
A01279;A8201
A01280;A8201
A01281;A8219
A01282;A8203
A01283;A8203
A01284;A0053
A01285;A8213
A01286;A8216
A01288;A8219
A01289;A8202
A01290;A8201
A01291;A0053
A01293;A8203
A01294;A8216
A01295;A8213
A01296;A8202
A01297;A8214
A01298;A8219
A01299;A8214
A01301;A8202
A01302;A8216
A01303;A8201
A01304;A8201
A01305;A0053
A01306;A0053
A01307;A8203
A01308;A8219
A01309;A8202
A01310;A8216
A01311;A8203
A01313;A8219
A01314;A8201
A01317;A8202
A01318;A8213
A01319;A8213
A01320;A0053
A01321;A8202
A01322;A8213
A01323;A0053
A01325;A8201
A01328;A8213
A01329;A8216
A01330;A8203
A01331;A8201
A01332;A0053
A01333;A8214
A01334;A0053
A01335;A8213
A01336;A8202
A01337;A0053
A01338;A8209
A01339;A8213
A01341;A8216
A01342;A8214
A01343;A0053
A01344;A8202
A01345;A8201
A01346;A8202
A01347;A8213
A01348;A8213
A01349;A8201
A01350;A8202
A01351;A8213
A01352;A0053
A01353;A8213
A01354;A8219
A01355;A0053
A01356;A8213
A01357;A8219
A01358;A8216
A01359;A8213
A01360;A8219
A01361;A8201
A01362;A8213
A01363;A8201
A01364;A8202
A01365;A0053
A01366;A8201
A01367;A8202
A01368;A8213
A01369;A8202
A01370;A0053
A01371;A8214
A01372;A8216
A01373;A8203
A01374;A8202
A01375;A8202
A01376;A8214
A01378;A8201
