"ANNEEMOIS";"num_TC";"TC_VOL"
"200402";100224;10
"200402";100226;2
"200402";100227;2
"200402";100229;0
"200402";100230;2
"200402";100232;4
"200402";100233;4
"200402";100234;12
"200402";100235;14
"200402";100236;6
"200402";100238;38
"200402";100240;0
"200402";100242;10
"200402";100243;2
"200402";100244;12
"200402";100245;4
"200402";100248;14
"200402";100251;0
"200402";100253;16
"200402";100255;46
"200402";100256;14
"200402";100257;10
"200402";100259;4
"200402";100263;4
"200402";100265;0
"200402";100267;0
"200402";100272;10
"200402";100274;10
"200402";100275;6
"200402";100276;2
"200402";100278;6
"200402";100279;6
"200402";100284;12
"200402";100287;8
"200402";100288;4
"200402";100289;4
"200402";100291;8
"200402";100293;8
"200402";100295;16
"200402";100298;8
"200402";100300;2
"200402";100302;2
"200402";100304;26
"200402";100306;32
"200402";100307;2
"200402";100309;46
"200402";100310;4
"200402";100311;6
"200402";100314;22
"200402";100317;10
"200402";100318;2
"200402";100319;10
"200402";100321;10
"200402";100322;20
"200402";100323;4
"200402";100325;10
"200402";100327;0
"200402";100328;0
"200402";100329;10
"200402";100331;8
"200402";100332;20
"200402";100334;0
"200402";100335;14
"200402";100336;14
"200402";100338;4
"200402";100339;4
"200402";100340;10
"200402";100344;10
"200402";100346;4
"200402";100347;4
"200402";100350;4
"200402";100352;8
"200402";100353;6
"200402";100356;8
"200402";100358;2
"200402";100359;16
"200402";100360;4
"200402";100362;8
"200402";100363;6
"200402";100365;2
"200402";100367;12
"200402";100368;0
"200402";100369;16
"200402";100370;18
"200402";100371;12
"200402";100372;8
"200402";100373;16
"200402";100375;4
"200402";100380;18
"200402";100381;14
"200402";100386;12
"200402";100390;12
"200402";100392;8
"200402";100394;10
"200402";100395;14
"200402";100396;18
"200402";100398;2
"200402";100401;2
"200402";100405;4
"200402";100408;4
"200402";100409;2
"200402";100411;4
"200402";100416;0
"200402";100418;16
"200402";100420;18
"200402";100421;22
"200402";100424;32
"200402";100425;6
"200402";100427;14
"200402";100429;0
"200402";100430;6
"200402";100431;6
"200402";100433;4
"200402";100434;8
"200402";100436;16
"200402";100437;16
"200402";100438;14
"200402";100440;8
"200402";100441;10
"200402";100442;6
"200402";100445;4
"200402";100447;6
"200402";100448;4
"200402";100449;22
"200402";100450;12
"200402";100451;28
"200402";100452;20
"200402";100453;12
"200402";102791;6
"200402";102799;2
"200402";102807;0
"200402";102982;6
"200402";102990;12
"200402";102998;0
"200402";103006;8
"200402";915274;56
"200402";919321;4
"200402";937484;2
"200402";937485;4
"200402";937486;0
"200402";937488;4
"200403";100224;6
"200403";100226;4
"200403";100227;8
"200403";100229;6
"200403";100230;2
"200403";100232;2
"200403";100233;8
"200403";100234;24
"200403";100235;20
"200403";100236;10
"200403";100238;24
"200403";100240;6
"200403";100242;8
"200403";100243;4
"200403";100244;10
"200403";100245;6
"200403";100248;14
"200403";100251;2
"200403";100253;20
"200403";100255;58
"200403";100256;10
"200403";100257;4
"200403";100259;14
"200403";100263;6
"200403";100267;6
"200403";100272;16
"200403";100274;10
"200403";100275;6
"200403";100276;6
"200403";100278;4
"200403";100279;8
"200403";100284;12
"200403";100287;8
"200403";100288;6
"200403";100289;6
"200403";100291;30
"200403";100293;14
"200403";100295;8
"200403";100298;0
"200403";100300;10
"200403";100302;2
"200403";100304;18
"200403";100306;40
"200403";100307;10
"200403";100309;48
"200403";100310;4
"200403";100311;10
"200403";100314;32
"200403";100317;12
"200403";100318;10
"200403";100319;4
"200403";100321;28
"200403";100322;20
"200403";100323;16
"200403";100325;4
"200403";100327;6
"200403";100328;4
"200403";100329;12
"200403";100331;8
"200403";100332;12
"200403";100334;0
"200403";100335;20
"200403";100336;4
"200403";100338;10
"200403";100339;0
"200403";100340;8
"200403";100344;12
"200403";100346;2
"200403";100347;10
"200403";100350;2
"200403";100352;2
"200403";100353;4
"200403";100356;2
"200403";100358;4
"200403";100359;20
"200403";100360;2
"200403";100362;8
"200403";100363;4
"200403";100365;0
"200403";100367;6
"200403";100368;8
"200403";100369;20
"200403";100370;12
"200403";100371;8
"200403";100372;2
"200403";100373;14
"200403";100375;6
"200403";100380;14
"200403";100381;2
"200403";100386;10
"200403";100390;4
"200403";100392;10
"200403";100394;4
"200403";100395;16
"200403";100396;18
"200403";100398;6
"200403";100401;8
"200403";100405;4
"200403";100408;12
"200403";100409;6
"200403";100411;8
"200403";100416;0
"200403";100418;16
"200403";100420;4
"200403";100421;14
"200403";100424;60
"200403";100425;12
"200403";100427;12
"200403";100429;2
"200403";100430;14
"200403";100431;8
"200403";100433;10
"200403";100434;12
"200403";100436;34
"200403";100437;18
"200403";100438;4
"200403";100440;12
"200403";100441;8
"200403";100442;2
"200403";100445;6
"200403";100447;4
"200403";100448;8
"200403";100449;12
"200403";100450;16
"200403";100451;44
"200403";100452;34
"200403";100453;28
"200403";102791;22
"200403";102799;10
"200403";102807;4
"200403";102982;2
"200403";102990;6
"200403";102998;10
"200403";103006;26
"200403";915274;54
"200403";919321;6
"200403";937484;2
"200403";937485;18
"200403";937486;2
"200403";937488;6
"200404";100224;6
"200404";100226;10
"200404";100227;10
"200404";100229;4
"200404";100230;4
"200404";100232;6
"200404";100233;2
"200404";100234;8
"200404";100235;8
"200404";100236;8
"200404";100238;30
"200404";100240;4
"200404";100242;10
"200404";100243;6
"200404";100244;8
"200404";100245;4
"200404";100248;4
"200404";100251;2
"200404";100253;22
"200404";100255;18
"200404";100256;14
"200404";100257;2
